SCAN_NO_TECH	{No scan technology installed}
The pattern seems clear, but what to enter?}
EXP_OBS_LANG_1	{2738 - 7382 - 3827 - ****}
EXP_OBS_OPT_A_1	{Input: 7238}
EXP_OBS_OPT_B_1	{Input: 8273}
EXP_OBS_OPT_C_1	{Input: 3278}
EXP_OBS_RES_A_1	{I discover a location within the distant stars!}
EXP_OBS_RES_B_1	{The observatory does not get a response from the infinite and unimaginable space above it.

I am quite alone.}
EXP_OBS_RES_C_1	{The observatory does not get a response from the infinite and unimaginable space above it.

I am quite alone.}
EXP_OBS_DESC_2	{A beacon flickers on screen, received from a distant point in space.

My fingers hover above the terminal, ready to enter the code to reveal the location, but what numbers do I enter?}
EXP_OBS_LANG_2	{3908 - 9083 - 0839 - ****}
EXP_OBS_OPT_A_2	{Input: 8039}
EXP_OBS_OPT_B_2	{Input: 0839}
EXP_OBS_OPT_C_2	{Input: 8390}
EXP_OBS_RES_A_2	{I enter the digits and wait.

The location of a distant point in space is revealed to me.}
EXP_OBS_RES_B_2	{There is no response.

The beacon's origin remains unknown.}
EXP_OBS_DESC_3	{The observatory's sterile, functional layout suggests its former overseer could have been electronic in origin. Judging by the decades-old beacon flashing on screen, this entity left this place long ago.
 
Perhaps if I can decipher the code I can learn where the beacon originated?}
EXP_OBS_LANG_3	{9162 - 1629 - 6291 - ****}
EXP_OBS_OPT_A_3	{Input: 6192}
EXP_OBS_OPT_B_3	{Input: 2916}
EXP_OBS_OPT_C_3	{Input: 1962}
EXP_OBS_RES_A_3	{Success.

I learn of a new location in the cosmos.}
EXP_OBS_RES_B_3	{My attempts prove futile.

The dark void above sends no response to my code.}
EXP_OBS_DESC_4	{The image of the observatory's former electronic overseer flickers on the console next to the flash of the beacon indicator. I wonder how long it waited to receive such a signal from an unknown part of space?

Perhaps I can send the reply the overseer never could. But first I must decipher the code.}
EXP_OBS_LANG_4	{5336 - 3365 - 3653 - ****}
EXP_OBS_OPT_A_4	{Input: 3653}
EXP_OBS_OPT_B_4	{Input: 3566}
EXP_OBS_OPT_C_4	{Input: 6533}
EXP_OBS_RES_A_4	{The stars reveal their secret.

I have discovered a new world within the infinite void.}
EXP_OBS_RES_B_4	{There is no response.

The beacon's secret remains unknown to me.}
EXP_OBS_DESC_5	{The facility is more like a science lab than an observatory, the star gazing equipment sitting amidst a sea of advanced experiments.
 
Perhaps the former custodian was too preoccupied to notice the beacon blinking invitingly on screen. If I can work out the code, I'm sure I can decipher its origin.}
EXP_OBS_LANG_5	{4366 - 3664 - 6643 - ****}
EXP_OBS_OPT_A_5	{Input: 6436}
EXP_OBS_OPT_B_5	{Input: 4663}
EXP_OBS_OPT_C_5	{Input: 3643}
EXP_OBS_RES_A_5	{Success.
 
I punch in the numbers and the beacon reveals the location of a new location within the cosmos.}
EXP_OBS_RES_B_5	{I punch in the numbers but the beacon does not divulge its secret.}
EXP_OBS_DESC_6	{I stand at the terminal as tiny drones go about a series of perfunctory cleaning routines within this pristine observatory. Clearly the former overseer was a stickler for cleanliness, but perhaps less conscientious about monitoring incoming communications from distant reaches of space. 
 
A beacon blinks invitingly on the monitor. If I can enter the correct access code perhaps I could make a valuable discovery.}
EXP_OBS_LANG_6	{7354 - 3547 - 5473 - ****}
EXP_OBS_OPT_A_6	{Input: 3547}
EXP_OBS_OPT_B_6	{Input: 4735}
EXP_OBS_OPT_C_6	{Input: 3574}
EXP_OBS_RES_A_6	{The code is correct.

The beacon's mystery is revealed to me.}
EXP_OBS_RES_B_6	{The code is incorrect.

The beacon's origin remains a mystery.}
WAR_OBS_DESC_1	{A beacon sent long ago from a distant system awaits my response.

Three numbers are visible above an empty input box. I think I know what comes next...}
WAR_OBS_LANG_1	{1702 - 7021 - 0217 - ****}
WAR_OBS_OPT_A_1	{Input: 2170}
WAR_OBS_OPT_B_1	{Input: 1720}
WAR_OBS_OPT_C_1	{Input: 1702}
WAR_OBS_RES_A_1	{I discover a location within the distant stars.}
WAR_OBS_RES_B_1	{The observatory remains dormant.

The beacon does not respond.}
WAR_OBS_DESC_2	{Images of shattered Sentinels are displayed like trophies on this terminal screen. Seems the observatory's former overseer had a penchant for hunting these machines.
 
Perhaps their time would have been better spent monitoring incoming beacons like the one that flashes on a monitor before me. If I can enter the correct access code perhaps I can discover where it originated from.}
WAR_OBS_LANG_2	{4634 - 6344 -3446 - ****}
WAR_OBS_OPT_A_2	{Input: 6344}
WAR_OBS_OPT_B_2	{Input: 4634}
WAR_OBS_OPT_C_2	{Input: 4463}
WAR_OBS_RES_A_2	{The observatory hums into life as the location of a new world is displayed on the screen.}
WAR_OBS_RES_B_2	{The observatory remains dormant.

No new locations are revealed to me.}
WAR_OBS_DESC_3	{Judging by the imposing size and weapons shown on the identification ID image that glares at me as I boot up the system, the station's overseer must have originated from a warrior race.
 
The lifeform probably left long before the arrival of the beacon that now winks tantalisingly next to it. If I can enter the correct code perhaps I can learn its secrets.}
WAR_OBS_LANG_3	{5920 - 9205 - 2059 - ****}
WAR_OBS_OPT_A_3	{Input: 0592}
WAR_OBS_OPT_B_3	{Input: 5920}
WAR_OBS_OPT_C_3	{Input: 2059}
WAR_OBS_RES_A_3	{The numbers I enter are correct.

The location of a new world appears on the screen.}
WAR_OBS_RES_B_3	{The number I enter has no effect.

The beacon's origin remains a mystery.}
WAR_OBS_DESC_4	{Images show that this observatory was once a warzone. Mangled metal, scorched walls and the heavily decayed corpses of a dozen hulking lifeforms betray a brutal firefight.
 
Now repaired, whatever transpired it must have happened before the beacon that flashes on screen arrived. Perhaps if I enter the correct code I can decipher it.}
WAR_OBS_LANG_4	{3987 - 9873 - 8739 - ****}
WAR_OBS_OPT_A_4	{Input: 7398}
WAR_OBS_OPT_B_4	{Input: 3987}
WAR_OBS_OPT_C_4	{Input: 9873}
WAR_OBS_RES_A_4	{Thanks to its recent repairs the observatory still functions.

It leaps into life as I enter the digits, showing the location of a new destination deep within the cosmos.}
WAR_OBS_RES_B_4	{Perhaps the observatory still needs repairs, or perhaps the code I entered was incorrect.

For whatever reason, I fail to decipher the beacon.}
WAR_OBS_DESC_5	{The heat within the observatory is oppressive, caused by the banks of powerful additional power units beneath my feet used to boost this facility's signal - and to receive others from distant worlds.
 
I'm distracted by a beacon that flickers on a nearby monitor. If I can work out the access code, perhaps I can decipher it.}
WAR_OBS_LANG_5	{7771 - 1777 - 7177 - ****}
WAR_OBS_OPT_A_5	{Input: 7177}
WAR_OBS_OPT_B_5	{Input: 7717}
WAR_OBS_OPT_C_5	{Input: 7771}
WAR_OBS_RES_A_5	{Ignoring the heat, I punch in the code.

I'm rewarded with a location within a distant system.}
WAR_OBS_RES_B_5	{I type in a code but the beacon continues to flash, revealing nothing.}
ALL_OBS_REWARD_1	{The Observatory discovers an intriguing location on a distant planet.}
ALL_OBS_REWARD_2	{The Observatory shares a useful location on another planet.}
ALL_OBS_REWARD_3	{The Observatory receives location data from an outpost on a distant planet.}
ALL_OBS_REWARD_4	{The Observatory traces a distress signal on another planet.}
ALL_OBS_REWARD_5	{I receive the location coordinates of a starship crash site somewhere within this solar system.}
ALL_OBS_REWARD_6	{I receive the coordinates of a starship distress beacon calling from somewhere within the skies above.}
ALL_ABAN_DESC_1	{‘It looked like a wound on the world. Crimson and ragged-edged, like something that once lived but was then torn asunder. I should have stayed away.’

‘Had I the senses to taste the air of this planet, I imagine it would have reeked with some kind of alien fetor, but nothing could stall my curiosity.’

‘Was it dead? Where I touched it, the surface was moist and yielding. It seemed to become motile then, crawling on a mat of slow cilia, moving from me.’

‘I should have left it alone.’}
ALL_ABAN_DESC_2	{‘I glimpsed the crimson orb between the clouds. A vast and baleful eye, unblinking and monstrous. Fear turned the blood in my veins to ice. I was so afraid it would see me, but then the clouds moved and it was gone.’

‘I was no longer certain if it had ever been real. Perhaps the fungal deposits from the last world I visited are still clogging my exosuit vents. Affecting my cognition somehow.’

‘I have cleaned my filters six times now. But I still feel it inside me.’}
ALL_ABAN_DESC_3	{‘I found a body. It's unlike anything I have ever seen. If there's a species like it, then I hope they're all dead like this one.’

‘At first I thought it some tragic remnant of a matter-transfer tech malfunction: a cage of bones and flesh studded with random patterns of crooked teeth and rheumy, lidless eyes. But no.’

‘Some horror of twisted evolution, warped by cruel nature. I can't help but picture what it would have looked like alive. I cannot help but fear that it will live again.’}
ALL_ABAN_DESC_4	{‘The oceans here are blood. Nothing lives in them; they are alive themselves. Great protean life forms as large as continents... or perhaps there is only one of them.’

‘What does such a thing consume, I ask myself? The answer seems to be everything. I found evidence of past life here, but no signs of it.’

‘Does the native flora and fauna hibernate when it comes to eat them, then return and repopulate once it retreats? I can feel it moving inside my brain, whispering. It wants me to discard my suit and swim.’}
ALL_ABAN_DESC_5	{‘I awoke from a dream where I was drowning in something thick and glutinous. It filled my pores and suffocated me.’

‘I want to believe that this is my tired mind playing tricks. I have been so long without deep sleep.’

‘The crimson sphere shimmers at the corner of my eye whenever I try to rest. I cannot comprehend how it tracks my spoor from world to world.’

‘Or is it that I am following it? The orb cannot be in all places at once. That cannot be.’}
ALL_ABAN_DESC_6	{‘Is this what we become? At each turn on my journey I find only more to taint my spirit and my flesh. The fanged maws erupt around me when my back is turned.’

‘I hear them chattering and spitting. Sometimes they scream sounds that may be words. Perhaps my name.’
 
‘I haven't removed my exosuit in many cycles. I'm afraid to look at my own skin. I know it will be seething, pus-wet and pitted. I have become a vector of infection.’

‘The corruption of something ruinous lives in my flesh. Don't come looking for me.’}
ALL_ABAN_DESC_7	{‘What are the Sentinels? They appear on countless worlds without summons or warning, they traverse the galaxy unopposed and enforce their will upon every sentient being they encounter.’

‘Who made them? Who gave them the will to police the stars and demand that we bow to their silent rules?’

‘The goal of the experiment was to learn the answers to these questions. It began on an uncharted world beneath a blue-white sun, far from the axis of civilization.’

‘The first drone screamed when it was cut open.’}
ALL_ABAN_DESC_8	{‘Where do the Sentinels come from? No ships are ever seen arriving to deposit them, yet we know they have spatial drives and can appear on any planet.’

‘Do they build themselves from resources on the worlds that they infest? Like a mechanoid virus, drawing on the host body to metastasize new matter?’

‘Korvax science speaks of metals in their makeup that should not exist in our age of the universe. No-one has ever seen them built.’

‘They are simply here, as if the universe expresses them into existence.’}
ALL_ABAN_DESC_9	{‘There is a world – turned to dust long before the rise of the Vy'keen – where the natives turned against the Sentinels.’

‘They chafed under the omnipresent eyes of the machines. Resentment begat violence. Drones were destroyed.’

‘More natives fought, and so came the bipeds, the quadrupeds, the interceptors in the sky. These and more.’

‘Soon there was war; and still the machines came, in exponential growth until at last they ended a species as a punishment. Still, the Galaxy refused to learn from this...’}
ALL_ABAN_DESC_10	{‘Is there a connection between the monoliths and the Sentinels? The origins of these ancient structures seem to predate all known civilization.’

‘Over time these structures have become imbued with the beliefs and the histories of the creatures that evolved around them.’

‘But what if there was a precursor species that came before us all? One of such infinite knowledge and interstellar power that even after their extinction, their tools remain for us to pore over, like an infant confronted with a fusion reactor.’}
ALL_ABAN_DESC_11	{‘When there is no explanation for a phenomena, it is a natural progress for intelligent beings to fill in the missing parts of their experience.’
